t,path_0,path_1,path_2,path_3,path_4,path_5,path_6,path_7,path_8,path_9,path_10,path_11,path_12,path_13,path_14,path_15,path_16,path_17,path_18,path_19,path_20,path_21,path_22,path_23,path_24,path_25,path_26,path_27,path_28,path_29,path_30,path_31,path_32,path_33,path_34,path_35,path_36,path_37,path_38,path_39,path_40,path_41,path_42,path_43,path_44,path_45,path_46,path_47,path_48,path_49
0.263000,0.867867,1.151104,1.219429,0.812778,0.777076,0.991732,0.955410,1.331154,1.015063,1.233545,1.103276,1.225065,1.040977,0.888619,0.898922,1.199586,0.793806,1.080766,1.197173,0.724848,0.905079,1.170192,0.821146,0.948726,1.114586,1.240059,0.966692,1.237061,1.171533,0.897714,1.004556,0.859300,1.142950,1.124603,1.028123,1.038521,1.241008,0.877133,0.915650,1.013226,0.822256,0.895543,1.102219,0.867707,0.866272,1.098295,0.696592,0.899760,1.217514,0.930107
0.264000,0.865533,1.162396,1.226864,0.806529,0.788446,0.997493,0.958378,1.336480,0.992369,1.216904,1.126026,1.231710,1.041852,0.888908,0.901287,1.190469,0.799700,1.077952,1.201301,0.722434,0.905149,1.164804,0.838352,0.958012,1.090513,1.251210,0.957136,1.245886,1.144507,0.906751,1.027547,0.853769,1.140252,1.122479,1.030829,1.031196,1.252535,0.862401,0.929838,1.021024,0.815202,0.903063,1.107304,0.874332,0.864880,1.091233,0.697788,0.902667,1.186351,0.931192
0.265000,0.867514,1.156149,1.210197,0.804086,0.806940,0.989732,0.964722,1.329234,0.981449,1.212071,1.113662,1.210329,1.035158,0.883855,0.887754,1.205301,0.798624,1.082445,1.189971,0.739148,0.897788,1.165045,0.842586,0.979821,1.079711,1.255358,0.972812,1.229497,1.145182,0.903281,1.013058,0.851342,1.137238,1.133820,1.037074,1.030937,1.271022,0.864445,0.924645,1.020473,0.802240,0.900432,1.102305,0.877026,0.868798,1.096264,0.698585,0.901060,1.209554,0.926056
0.266000,0.867153,1.174830,1.214023,0.790164,0.832226,0.985576,0.953110,1.351642,0.989943,1.212135,1.107744,1.204421,1.029941,0.877214,0.885707,1.198917,0.795771,1.115728,1.187740,0.739490,0.896652,1.158155,0.850336,0.992506,1.074327,1.270375,0.993181,1.223366,1.136812,0.905577,1.004436,0.849388,1.136117,1.143519,1.028770,1.032602,1.287794,0.868298,0.926299,1.006921,0.799624,0.892346,1.102407,0.887127,0.873417,1.098197,0.700761,0.898880,1.224597,0.926454
0.267000,0.871433,1.175784,1.222173,0.794600,0.826320,0.987705,0.954930,1.333114,0.979882,1.213073,1.101462,1.187767,1.024615,0.874474,0.860401,1.189658,0.799088,1.111913,1.183833,0.746009,0.905422,1.163108,0.857810,0.998746,1.104617,1.280140,1.004166,1.207206,1.141045,0.903960,1.035301,0.852466,1.134513,1.137511,1.009323,1.027843,1.298431,0.869847,0.933137,1.009018,0.815271,0.889926,1.103555,0.913578,0.874046,1.079450,0.712491,0.899989,1.220605,0.918024
0.268000,0.869102,1.173038,1.230181,0.791519,0.833773,0.998435,0.966753,1.326475,0.949433,1.231795,1.096148,1.172032,1.036261,0.887991,0.872823,1.203389,0.813984,1.098693,1.183323,0.748186,0.913577,1.156641,0.863192,0.982239,1.122324,1.274397,1.004752,1.197269,1.162207,0.897577,1.018839,0.851605,1.132674,1.132205,1.008744,1.036340,1.296422,0.878344,0.922161,1.012108,0.816458,0.900480,1.108396,0.903281,0.879572,1.073430,0.711138,0.906052,1.210985,0.930490
0.269000,0.883796,1.151244,1.234542,0.796245,0.823735,1.006817,0.972830,1.323285,0.941636,1.232032,1.087082,1.159288,1.040507,0.880887,0.862153,1.197679,0.818801,1.093471,1.161752,0.743047,0.915691,1.158539,0.861938,0.974443,1.134389,1.285455,0.996023,1.196297,1.165208,0.889134,1.017248,0.853380,1.136021,1.135198,1.006730,1.033861,1.287440,0.885354,0.903536,1.002548,0.809686,0.904593,1.098184,0.897223,0.877191,1.088179,0.713222,0.910875,1.179456,0.937294
0.270000,0.876465,1.153010,1.235060,0.801362,0.813058,1.014048,0.979526,1.294324,0.928496,1.228628,1.091071,1.148069,1.028371,0.883903,0.848308,1.192901,0.820484,1.090637,1.162801,0.739661,0.915336,1.162470,0.867398,0.970224,1.122610,1.283098,0.982242,1.194007,1.157686,0.886936,1.011206,0.844937,1.133489,1.134603,1.004808,1.039927,1.287703,0.890226,0.892896,0.997532,0.814873,0.904754,1.096544,0.900370,0.885071,1.104589,0.712753,0.916652,1.180198,0.936606
0.271000,0.872766,1.145770,1.238671,0.805157,0.803439,1.000133,0.981458,1.287189,0.929040,1.243278,1.096925,1.140604,1.031246,0.879901,0.847904,1.195428,0.809053,1.082890,1.162629,0.746337,0.914141,1.172241,0.870754,0.984380,1.102328,1.257444,0.985593,1.201467,1.164013,0.880302,1.008762,0.850944,1.133227,1.146890,0.997361,1.054427,1.296854,0.884676,0.883366,0.993574,0.807856,0.891767,1.093265,0.891051,0.879406,1.090894,0.707861,0.914792,1.196210,0.941038
0.272000,0.878177,1.123428,1.225797,0.809911,0.804020,1.000607,0.981325,1.303371,0.921663,1.246948,1.122048,1.127879,1.029178,0.876424,0.850223,1.192456,0.799573,1.080890,1.150499,0.752160,0.913133,1.172195,0.872255,0.982170,1.110314,1.265126,0.979404,1.203542,1.177575,0.886935,1.011436,0.852076,1.141266,1.145092,0.991095,1.059211,1.290853,0.881639,0.872894,0.999925,0.800730,0.887733,1.082524,0.888962,0.875517,1.091356,0.706723,0.899193,1.207800,0.938867
0.273000,0.874816,1.111375,1.218562,0.807633,0.802323,1.016038,0.989002,1.301433,0.917749,1.242855,1.130632,1.129103,1.030983,0.871686,0.855577,1.196348,0.780116,1.084944,1.152837,0.766276,0.906994,1.170728,0.880794,1.003322,1.113425,1.265027,0.975034,1.212498,1.191997,0.914838,1.024919,0.844823,1.144403,1.139947,0.990579,1.064867,1.298493,0.879720,0.864708,1.000048,0.803626,0.892399,1.090223,0.884754,0.877821,1.082407,0.715333,0.899019,1.217940,0.941009
0.274000,0.870614,1.113994,1.204514,0.807735,0.797330,1.021472,0.986044,1.314431,0.918438,1.239223,1.160449,1.123547,1.004520,0.866253,0.846434,1.201982,0.785113,1.089885,1.146099,0.756301,0.895958,1.174888,0.892022,0.997987,1.127620,1.289621,0.983196,1.197042,1.203319,0.922989,1.028954,0.847919,1.143550,1.143186,0.989979,1.064584,1.296656,0.895342,0.867705,0.996126,0.796159,0.886114,1.103285,0.889132,0.881986,1.070447,0.724528,0.896577,1.226121,0.944143
0.275000,0.870219,1.109820,1.192293,0.819873,0.791160,1.034929,0.993919,1.315446,0.923200,1.233885,1.167235,1.117144,1.011941,0.870009,0.840827,1.212898,0.780506,1.094812,1.140246,0.750165,0.884990,1.183834,0.884038,0.989275,1.116463,1.287065,0.966264,1.183855,1.203098,0.917602,1.037757,0.858131,1.145791,1.141318,0.991689,1.070449,1.301864,0.883025,0.860168,0.996880,0.798626,0.895297,1.109800,0.887132,0.876629,1.073964,0.717511,0.898025,1.241752,0.941230
0.276000,0.861109,1.116816,1.181327,0.815846,0.782996,1.038114,0.998502,1.302797,0.908674,1.221511,1.171113,1.103219,1.009960,0.867236,0.831749,1.215216,0.788102,1.108724,1.128715,0.751664,0.875493,1.189071,0.876925,0.982856,1.147350,1.280707,0.964068,1.188155,1.209580,0.909808,1.038253,0.861065,1.137814,1.140381,0.993286,1.071951,1.288704,0.867587,0.844710,0.988323,0.798060,0.905371,1.108920,0.894867,0.878231,1.088434,0.716591,0.907584,1.242020,0.947102
0.277000,0.863198,1.111985,1.194183,0.819265,0.767941,1.038160,0.995766,1.321888,0.917988,1.222206,1.174047,1.130705,1.001931,0.873022,0.830772,1.194783,0.798269,1.093922,1.116329,0.750143,0.867320,1.196481,0.858912,0.977933,1.152560,1.304862,0.968674,1.216621,1.195911,0.923204,1.042402,0.856499,1.135116,1.146954,0.990802,1.075819,1.299210,0.869964,0.846183,0.986692,0.800010,0.889318,1.110939,0.896318,0.877979,1.088924,0.715625,0.901574,1.245980,0.940625
0.278000,0.857649,1.111476,1.178205,0.819886,0.769249,1.031764,0.989763,1.307143,0.936110,1.233157,1.175472,1.136457,1.008646,0.871005,0.842299,1.206630,0.800647,1.122855,1.126552,0.751161,0.872013,1.192277,0.854968,0.986612,1.158981,1.323096,0.958169,1.225524,1.179855,0.921070,1.055134,0.857206,1.131889,1.139199,0.983030,1.079181,1.310653,0.861415,0.840092,0.975266,0.797606,0.884992,1.116308,0.907660,0.890658,1.089391,0.721193,0.897329,1.236173,0.941909
0.279000,0.855756,1.114917,1.167916,0.814161,0.769818,1.027011,0.985364,1.323759,0.940328,1.245666,1.174626,1.131422,1.025501,0.865977,0.831809,1.199058,0.796212,1.138997,1.123352,0.746142,0.879157,1.200685,0.862030,0.999204,1.149208,1.336829,0.981415,1.219287,1.166461,0.906021,1.054088,0.870569,1.133587,1.136690,0.991980,1.087088,1.301174,0.851903,0.847377,0.976463,0.800611,0.879675,1.114392,0.915073,0.900063,1.107761,0.720749,0.898938,1.246247,0.930421
0.280000,0.865207,1.113431,1.158865,0.818130,0.769123,1.028096,0.983297,1.337029,0.935541,1.264029,1.162686,1.126972,1.029384,0.865831,0.836722,1.218562,0.804271,1.148664,1.122138,0.734327,0.868615,1.192144,0.866218,0.989421,1.143583,1.336683,0.998308,1.221440,1.162006,0.908967,1.032253,0.873045,1.130509,1.147354,0.993655,1.080062,1.288058,0.848512,0.858363,0.973430,0.808465,0.875369,1.107070,0.918360,0.910228,1.100313,0.714037,0.897275,1.253909,0.928030
0.281000,0.865739,1.103454,1.157973,0.817062,0.765079,1.024684,0.996488,1.319486,0.935368,1.232413,1.146427,1.145382,1.047739,0.861618,0.846214,1.229808,0.792277,1.141510,1.138020,0.725103,0.855639,1.212216,0.867159,0.980338,1.140610,1.337788,0.979946,1.241297,1.171940,0.908772,1.022533,0.866651,1.131115,1.139275,1.009974,1.078104,1.283577,0.856646,0.848906,0.984316,0.808538,0.874196,1.094586,0.927803,0.918011,1.093124,0.720456,0.903892,1.235792,0.928793
